

INSERT INTO Teams (name, coach) VALUES('Ispgp','Aomhdilumo');
INSERT INTO Teams (name, coach) VALUES('Sbxww','Sztopnmqoj');
INSERT INTO Teams (name, coach) VALUES('Yhlyo','Yzefmsoyfy');
INSERT INTO Teams (name, coach) VALUES('Tmxfk','Iceuuebiqu');
INSERT INTO Teams (name, coach) VALUES('Wcjmq','Uspwebhoai');
INSERT INTO Teams (name, coach) VALUES('Dfahk','Vqogxlexdv');
INSERT INTO Teams (name, coach) VALUES('Ihokr','Clxjvhrtav');
INSERT INTO Teams (name, coach) VALUES('Ueblk','Cynitikgnr');
INSERT INTO Teams (name, coach) VALUES('Dpdcc','Xumsmivccq');
INSERT INTO Teams (name, coach) VALUES('Rkway','Pmlhzzfujh');
INSERT INTO Teams (name, coach) VALUES('Gbhps','Wuuhuvafdi');
INSERT INTO Teams (name, coach) VALUES('Mvjjb','Locghtvksl');
INSERT INTO Teams (name, coach) VALUES('Nwlxj','Wthifruugt');
INSERT INTO Teams (name, coach) VALUES('Uhnpz','Ehodojvyjj');
INSERT INTO Teams (name, coach) VALUES('Vxcoy','Ydyxhwwwhr');
INSERT INTO Teams (name, coach) VALUES('Nwuyd','Retuqocvtl');
INSERT INTO Teams (name, coach) VALUES('Ijcjd','Vsajgkqmwu');
INSERT INTO Teams (name, coach) VALUES('Yhbca','Tfkuhkbmkf');
INSERT INTO Teams (name, coach) VALUES('Ennon','Aqtaviwwxu');
INSERT INTO Teams (name, coach) VALUES('Qlgdf','Gysgsatydu');
INSERT INTO Teams (name, coach) VALUES('Rxfxl','Yhqjusemrc');
INSERT INTO Teams (name, coach) VALUES('Lyqti','Xgqnkxnblz');
INSERT INTO Teams (name, coach) VALUES('Jvsft','Qziiqxbwvx');
INSERT INTO Teams (name, coach) VALUES('Liqsf','Loasvkgavr');
INSERT INTO Teams (name, coach) VALUES('Eznyw','Ypnoouwxqn');
INSERT INTO Teams (name, coach) VALUES('Wctbn','Ekbotqobvr');
INSERT INTO Teams (name, coach) VALUES('Zjkyz','Cwjmfwxbct');
INSERT INTO Teams (name, coach) VALUES('Tlard','Pgkkqwzwbu');
INSERT INTO Teams (name, coach) VALUES('Ggkpe','Ppnpjktazg');
INSERT INTO Teams (name, coach) VALUES('Kcxgf','Qkhakodebq');
INSERT INTO Teams (name, coach) VALUES('Luzbn','Ndwchdiomx');
INSERT INTO Teams (name, coach) VALUES('Fwmun','Epowejugko');
INSERT INTO Teams (name, coach) VALUES('Xtgbq','Ulfkkauokj');
INSERT INTO Teams (name, coach) VALUES('Jstmm','Ctqzhsuywv');
